uuid,image1_index,image2_index,pair_id,r11,r12,r13,tx,r21,r22,r23,ty,r31,r32,r33,tz,h41,h42,h43,h44
c865549e-77ab-45a2-bcdd-484b1b7adec9,1,2,image_0001_image_0002,1.07768603470923,0.01654745198825252,41.642619679624794,41.642619679624794,0.05866261766759264,1.0035974520240967,-1.333362610672539,-1.333362610672539,0.00037595265124915696,-1.0116686441755925e-05,1.0,1.0,0.0,0.0,0.0,1.0
94da60d3-30fc-4429-aa18-b45b714a11fd,2,3,image_0002_image_0003,0.9382581434790656,-0.01051996860137653,15.145637905783424,15.145637905783424,-0.08745686958932503,0.9316504069280167,22.609321191256,22.609321191256,-0.00013884583748516104,-4.8659951517045714e-05,1.0,1.0,0.0,0.0,0.0,1.0
ccffb8ea-b0c8-4328-ac90-b30f99377c45,3,4,image_0003_image_0004,0.997284970627475,-0.005401743806941808,10.243969749087888,10.243969749087888,0.0007647675536144096,0.9835637542875385,5.589968523584601,5.589968523584601,1.4369116847970165e-05,-1.2986533400690666e-05,0.9999999999999999,0.9999999999999999,0.0,0.0,0.0,1.0
6e189351-c67d-459d-8dc4-a47ade5ac552,4,5,image_0004_image_0005,1.0497517573897284,0.0010810217074500616,30.110581100717567,30.110581100717567,0.06191404104163673,1.0147291785974952,-3.650365321007671,-3.650365321007671,9.21718721768642e-05,1.1610863497416327e-05,1.0,1.0,0.0,0.0,0.0,1.0
2a9ae9a2-2d18-4ce5-b679-bb8470b34d14,5,6,image_0005_image_0006,1.2374320637413265,0.04472365250038779,29.119457879845726,29.119457879845726,0.14368999333487156,1.2001364396162397,-63.54002449146891,-63.54002449146891,0.00022397416647622776,0.00015709266956738185,1.0,1.0,0.0,0.0,0.0,1.0
63f2d696-a8c2-45bb-8414-7695e1197530,8,9,image_0008_image_0009,1.034333587466331,0.017066993822594745,27.96356387318736,27.96356387318736,-0.046781989991198175,1.055402759094561,-19.37244281674257,-19.37244281674257,-6.452838904214582e-05,4.433579427463802e-05,1.0,1.0,0.0,0.0,0.0,1.0
5971f5e3-1050-4f65-901f-014b7ae1103b,9,10,image_0009_image_0010,1.074383217821839,0.0056410367384466574,4.900252519234914,4.900252519234914,0.11045899829338132,1.0635102598693527,-30.25256578946328,-30.25256578946328,0.00016724547304929304,3.144536541007038e-05,1.0,1.0,0.0,0.0,0.0,1.0
34c98404-6afd-4d12-8a31-d89022909377,11,12,image_0011_image_0012,0.8872520289892876,-0.01105100502878975,52.940238308216955,52.940238308216955,-0.21493973717285142,0.8673862972847005,40.59723632870067,40.59723632870067,-0.0003939253631532081,-8.164185403981207e-05,1.0,1.0,0.0,0.0,0.0,1.0
8058d394-5be6-4a87-9b3a-15f6e41c95b8,12,13,image_0012_image_0013,0.9389042613831993,-0.019596611770460043,70.27650054978902,70.27650054978902,-0.12839631602073528,0.991275598644209,-6.998611243039927,-6.998611243039927,-0.00016482946949186343,5.61588719486025e-06,0.9999999999999999,0.9999999999999999,0.0,0.0,0.0,1.0
3b9a6d13-776c-4d66-a04a-ea7cdb6bf6b8,13,14,image_0013_image_0014,0.9716081407202007,0.0008759085234325919,60.81813825917704,60.81813825917704,-0.06222755907529256,1.0204069522310293,-27.97792648794288,-27.97792648794288,-9.920553162492538e-05,1.9424464077661224e-05,1.0,1.0,0.0,0.0,0.0,1.0
5d8d8f21-f5c8-48f5-a606-03e8fa84b628,14,15,image_0014_image_0015,1.1560307365389944,0.010207798364208211,22.196775008430695,22.196775008430695,0.3238862721456751,1.1343962369941323,-63.45053118224289,-63.45053118224289,0.0005655186727928021,7.681214194888136e-05,1.0,1.0,0.0,0.0,0.0,1.0
75ff20e9-ecd9-4e99-acbc-11848a253b6a,15,16,image_0015_image_0016,0.9789463681805767,-0.007418722957304744,56.880356395928054,56.880356395928054,0.027630039882444234,0.9777784087698207,-4.414759106490216,-4.414759106490216,3.432292505953042e-05,-1.692294909327737e-05,1.0,1.0,0.0,0.0,0.0,1.0
f8eb0958-3054-4d48-9758-ecbd7696369e,16,17,image_0016_image_0017,1.0512082392107125,0.001955848391473367,26.545459639265164,26.545459639265164,0.07406131150918692,1.0512472564172817,-27.879552133031112,-27.879552133031112,0.00014978611785639178,2.8556574054749495e-05,1.0,1.0,0.0,0.0,0.0,1.0
a888792c-4b84-4637-adf1-5e9f5a466d43,17,18,image_0017_image_0018,0.9823107580917878,-0.012768039682830742,40.44559369262163,40.44559369262163,0.07647086127818482,0.9443016592159681,1.3950795291385758,1.3950795291385758,8.908403928267029e-05,-5.9336428242010466e-05,1.0,1.0,0.0,0.0,0.0,1.0
5f9964e1-b2d1-422e-8931-aba995972d7d,19,20,image_0019_image_0020,0.9827123937607778,0.0077378737045458255,8.518892897328342,8.518892897328342,0.00783779165310116,1.0000248096787672,-10.705607339555414,-10.705607339555414,4.186457469237461e-05,-2.915409899892839e-06,1.0,1.0,0.0,0.0,0.0,1.0
c6412e0e-5d40-488c-b99d-a32d592a4da7,20,21,image_0020_image_0021,0.979984225173776,0.041088309330480216,16.67773126581725,16.67773126581725,0.023252435889874287,0.9719858115432941,-8.28713678948865,-8.28713678948865,9.113024544505937e-05,-3.859638138590241e-05,1.0,1.0,0.0,0.0,0.0,1.0
0df2a483-5d1a-4adc-89ac-cf00e98ff3d8,21,22,image_0021_image_0022,1.006242626653153,0.016396608562877543,14.896848707229859,14.896848707229859,-0.027260572123789226,0.9943748427586051,3.013362930334442,3.013362930334442,-5.771057233071311e-05,1.3233415880874277e-05,1.0,1.0,0.0,0.0,0.0,1.0
13c0aead-9c5b-4cd2-9afb-11fdbf22cebf,22,23,image_0022_image_0023,0.9920129594833065,-0.008729149428089495,18.604206894633588,18.604206894633588,0.039540442357932186,0.989932079463968,-1.9779815144533723,-1.9779815144533723,6.0053672878777696e-05,-1.4632597438211228e-05,1.0,1.0,0.0,0.0,0.0,1.0
0d067b89-ddf4-4873-8946-072889a776c9,23,24,image_0023_image_0024,0.8991091981716193,-0.0362456437092366,59.56865044515775,59.56865044515775,0.009422859019007265,0.8177845379057079,57.77805310078738,57.77805310078738,7.196455047497488e-06,-0.00013387603319250943,1.0,1.0,0.0,0.0,0.0,1.0
